Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Sat, 05 Jun 2010 02:19:29 +0000):	@PHILIPGRANGER How are ya darlin #FF You letting loose tonight?
lele647 (Sat, 05 Jun 2010 02:22:45 +0000):	@DanielStoicaTax HUGS hunny!! Hope you had a good one! Thanks
lele647 (Sat, 05 Jun 2010 02:23:45 +0000):	@FijiCollin I Love adocados!!! What is up for today? Its morning right?
lele647 (Sat, 05 Jun 2010 02:33:47 +0000):	RT @WeVideo: @lele647 can you throw a dollar across it there? &gt; Lol across where hunny?
lele647 (Sat, 05 Jun 2010 02:34:40 +0000):	@PHILIPGRANGER I remember one tme my daddy took me and my brother down the atl river we fought over the paddle and lost it!!
lele647 (Sat, 05 Jun 2010 02:35:19 +0000):	@FijiCollin Collin i am closing my eyes and we are in hammocks having pinsa!!!
lele647 (Sat, 05 Jun 2010 02:35:44 +0000):	@DavidKirlew i am happy for you!
lele647 (Sat, 05 Jun 2010 02:36:16 +0000):	@MikeBitter Glad to hear it Mike!! MISS YA!!
lele647 (Sat, 05 Jun 2010 02:38:04 +0000):	@DavidKirlew LOL I think you will need it!!
lele647 (Sat, 05 Jun 2010 02:39:59 +0000):	@DavidKirlew how long is the ride?
lele647 (Sat, 05 Jun 2010 02:41:27 +0000):	@WeVideo brb
lele647 (Sat, 05 Jun 2010 02:44:08 +0000):	@FijiCollin LOL def!! you post any new pics?
lele647 (Sat, 05 Jun 2010 02:44:20 +0000):	@DavidKirlew thats a long ride hunny
lele647 (Sat, 05 Jun 2010 03:04:06 +0000):	@jillzie30 hey baby!!
lele647 (Sat, 05 Jun 2010 05:57:58 +0000):	@joeygiggles how are ya hunny? #jgf
lele647 (Sat, 05 Jun 2010 06:05:00 +0000):	@DWO34 Hi D!! I miss you and your pics *spanking* LMAO
lele647 (Sat, 05 Jun 2010 14:54:12 +0000):	@MikeBitter hey sweetheart!! Hope you have a grand day!! How are you?
lele647 (Sat, 05 Jun 2010 18:00:54 +0000):	ATTENTION everyone PLS follow my new and dear friend @nanamary05 She is a doll and I just love her!! #JGF
lele647 (Sat, 05 Jun 2010 18:01:38 +0000):	RT @SkinnyTanked: @lele647 Nice..As I don't care who wins now, I want all 7 games &gt; LOL did you hear my hubby screaming GO FLYERS!!!
lele647 (Sat, 05 Jun 2010 18:02:55 +0000):	@DarylTurner HUGS D!!! Hope your having a good weekend!
lele647 (Sat, 05 Jun 2010 18:07:10 +0000):	HUGS sweetheart!RT @Joey19912: #FF @lele647 @BillZucker @Calbosh #JGF :) :) :)
lele647 (Sat, 05 Jun 2010 18:07:53 +0000):	SAT HUGS@MikeBitter @chitownebiz @SkinnyTanked @jillzie30 @yeagerhood @FijiCollin @DavidKirlew @DarylTurner @medcnfromyheart @DebbyBruck
lele647 (Sat, 05 Jun 2010 18:09:04 +0000):	SAT HUGS @nanamary05 @BeABetterFather @Strike_a_Chord @IH39 @Joey19912 @all3rgict0y0u @Martien2012 @DivaVirgo96 @keeperofdreams
lele647 (Sat, 05 Jun 2010 18:09:34 +0000):	@Martien2012 Good afternoon!
lele647 (Sat, 05 Jun 2010 18:10:08 +0000):	@DivaVirgo96 I know!! Kevin kills me! That was funny as hell beer and tequila and keep them coming!
lele647 (Sat, 05 Jun 2010 18:12:33 +0000):	@DWO34 HUGS D!!! Hope your having a good day, looks like rain here
lele647 (Sat, 05 Jun 2010 18:13:54 +0000):	RT @alexism1964: @lele647 @joeygiggles hey you guys! Hope you're having a good wknd! #JGF &gt; Hey sweetie! Hope you are too! #jgf
lele647 (Sat, 05 Jun 2010 18:15:30 +0000):	HUGS Beautiful!! RT @RoyaltyBuff: #TweepsWithIntegrity--&gt; @BethLayne @RoyaltyBuff @JulieAnneRhodes @lele647 @ImmaChocoholic @BlondeTXGoddess
lele647 (Sat, 05 Jun 2010 18:17:31 +0000):	RT @M_Albee: @lele647 Have a FANTASTIC weekend, Sending hugs &amp; prayers to You my friend http://twitgoo.com/yi6he &gt; @ganjaboy74
lele647 (Sat, 05 Jun 2010 18:18:30 +0000):	@M_Albee Hope your having fun hunny!
lele647 (Sat, 05 Jun 2010 18:19:09 +0000):	RT @laneyfitz: @lele647 thanks for your #followfriday!!! &gt; Your welcome!! Have a good one!
lele647 (Sat, 05 Jun 2010 18:19:40 +0000):	@crazinessinc I have cleaned, FB now tweeting, LOL almost done with RT
lele647 (Sat, 05 Jun 2010 18:21:15 +0000):	@CwbyWsdm Your a doll!!! Hope your having a good one!!
lele647 (Sat, 05 Jun 2010 18:23:20 +0000):	@donnette Hey gorgeous I have been tweeting you but I dont think you have seen them
lele647 (Sat, 05 Jun 2010 18:24:09 +0000):	RT @SodomTheMovie: Faces of Grace @SharneseLaNier @MossAllDay @KarlDetkenProDJ @lele647 @americannanny &gt; Thanks beautiful!
lele647 (Sat, 05 Jun 2010 18:26:58 +0000):	SAT FAVS @ME_Leclerc1776 @donnette @jillzie30 @cupcakes5 @IntheHeartland3 @puffclean @MikeBitter @FloetryCatnap @SodomTheMovie @ActorAshley
lele647 (Sat, 05 Jun 2010 18:30:02 +0000):	SAT HUGS @YogaArmy @LENAYEHEAVEN @Nycconnexion @SoCalCoupons @MossAllDay @FloetryCatnap @Reward_Mall @Starrz2010 @ChirpyBebo @gustrindade
lele647 (Sat, 05 Jun 2010 18:30:52 +0000):	@definitelydiane My mom had terrible fir ants!
lele647 (Sat, 05 Jun 2010 18:31:18 +0000):	RT @11AudreySUM: @lele647 glad you survived graduation week!! #mommyclub &gt; LOL this week graduation is 19th! Hoe r u
lele647 (Sat, 05 Jun 2010 18:31:56 +0000):	RT @NanaMary05: @lele647 Thank you Sweetie!! Bring it on!!! Go USA!! &gt; there you are almost done with my RT!! i love your pic
lele647 (Sat, 05 Jun 2010 18:33:37 +0000):	SAT HUGS @d17th @11AudreySUM @NanaMary05 @Barbie_doll4u @caramelminx @nursemom90 @PageoLoveChild @artbynemo @definitelydiane
lele647 (Sat, 05 Jun 2010 18:34:56 +0000):	FUCK ME!!!! Why does that damn ice cream man drive by so damn fast I dont even have my money out!!! @ganjaboy74
lele647 (Sat, 05 Jun 2010 18:35:52 +0000):	RT @djcurtis: **waves at @lele647 -- Hey girl ! How have you been? #KRP &gt; hey handsome!!! Long time, you on tonight?
lele647 (Sat, 05 Jun 2010 18:36:38 +0000):	RT @xtx33: Why the eff am I at the beach again in my drunk pants AGAIN?!?! &gt; ROTFLMAO
lele647 (Sat, 05 Jun 2010 18:38:23 +0000):	@djcurtis DEF!! i will tune in too, I am sure I will be around! What are ya gonna be playing? #KRP
lele647 (Sat, 05 Jun 2010 18:38:56 +0000):	@cupcakes5 @THELOPEZSANGELS Hello gals!!! How is your sat?
lele647 (Sat, 05 Jun 2010 18:41:35 +0000):	RT @djcurtis: @lele647 Got some great 70s rock and some pop.. trivia .. and of course @TOSOL will provide some of the show as well. #KRP
lele647 (Sat, 05 Jun 2010 18:42:24 +0000):	@djcurtis oh I will have it on!!!! Sounds great, a lazy day here so i think we are staying put, anything changes I will let you kno darlin
lele647 (Sat, 05 Jun 2010 18:42:51 +0000):	@Battleborne Fuck me too!! The ice cream man drove too fast by my house!!!
lele647 (Sat, 05 Jun 2010 18:43:19 +0000):	RT @KimPossibleX: I love my Droid Incredible but the battery life kinda sucks... &gt; thats what my son says!
lele647 (Sat, 05 Jun 2010 18:43:56 +0000):	@THELOPEZSANGELS Yep they are headed in here too!! So it looks like an indoor day!
lele647 (Sat, 05 Jun 2010 18:46:19 +0000):	@definitelydiane LOL I forgot to tell you the cure hold on
lele647 (Sat, 05 Jun 2010 18:46:55 +0000):	@definitelydiane if you know someone who is sick save their kleenexs, put them on top of the ant hill and pour a little water on them!!
lele647 (Sat, 05 Jun 2010 18:47:48 +0000):	@THELOPEZSANGELS That sucks I am feeling better today, such a nice week and i was inside sick!! BOO HOO
lele647 (Sat, 05 Jun 2010 18:49:49 +0000):	@djcurtis i wanna hear Mothers Finest Baby love!!! and I dedicate it to C!!! LMAO #krp
lele647 (Sat, 05 Jun 2010 18:49:58 +0000):	RT @Battleborne: @lele647 [Ok I hear ya...cue~&gt; http://www.youtube.com/watch?v=GNk0HC6Xc3U...:) &gt; I love it!!!
lele647 (Sat, 05 Jun 2010 18:50:35 +0000):	@nursemom90 ditto darling, I havent heard aboutt he flood watxh but the sky is getting dark. How are ya?
lele647 (Sat, 05 Jun 2010 18:51:30 +0000):	@THELOPEZSANGELS Its a tummy thing and i could not take any heat, i know it sucks balls!! LOL Oh well I need to buy a baby pool anyway
lele647 (Sat, 05 Jun 2010 18:54:12 +0000):	@THELOPEZSANGELS LOL I need something when I lay out, that damn ice cream man went by so fast 10 minutes ago I couldnt find my purse!
lele647 (Sat, 05 Jun 2010 18:55:11 +0000):	@WatkinsLadybeth hey hunny! I am good! How about you? Its gonna rain so an inside day today, thinking pizza for dinner!
lele647 (Sat, 05 Jun 2010 18:59:51 +0000):	@djcurtis Thanks hunny! Anything up today?
lele647 (Sat, 05 Jun 2010 19:00:30 +0000):	@nursemom90 OH SH** And you know what I mean!! That happened here. i am saying a prayer, the longer they are there, well U know!
lele647 (Sat, 05 Jun 2010 19:00:56 +0000):	@Stodsports How are you sweetie?
lele647 (Sat, 05 Jun 2010 19:01:28 +0000):	@Battleborne How are ya today? Gonna finally rain today! Oh having son check my car windows
lele647 (Sat, 05 Jun 2010 19:02:26 +0000):	@nanamary05 dis you go and hide? LOL
lele647 (Sat, 05 Jun 2010 19:05:21 +0000):	@Battleborne LOL you and me both! You would die LOL if you saw how clean my FB is!!
lele647 (Sat, 05 Jun 2010 19:07:14 +0000):	@Stodsports CYL hunny!!! Have a good one Love and HUGS to you too!
lele647 (Sat, 05 Jun 2010 19:09:22 +0000):	RT @RazorRaySVP: This is just twitter people... get off the boo boo &gt; LOL sweetie how are you, wait I havent watched the news yet, HUGS
lele647 (Sat, 05 Jun 2010 19:16:53 +0000):	@NanaMary05 Good for you!! hubby is being a pain in my ass
lele647 (Sat, 05 Jun 2010 19:18:25 +0000):	@Flyer4Him My day is okay, hubby driving me insane right now!! LOL
lele647 (Sat, 05 Jun 2010 19:20:24 +0000):	@beadsofparadize sending SAT HUGS
lele647 (Sat, 05 Jun 2010 19:20:50 +0000):	@NanaMary05 LOL Jeff (hubby) fixed the leak in our shower!!
lele647 (Sat, 05 Jun 2010 19:21:57 +0000):	@NanaMary05 thats cute!!! My kid are all grown 19 18 16
lele647 (Sat, 05 Jun 2010 19:23:20 +0000):	@WatkinsLadybeth @NanaMary05 Oh no hubby cant find his meds!!! This is not good
lele647 (Sat, 05 Jun 2010 19:27:48 +0000):	@beadsofparadize I love my huggie bear!!!! Hope your having a good one!
lele647 (Sat, 05 Jun 2010 19:28:53 +0000):	@Battleborne cookies and beer go freat together!
lele647 (Sat, 05 Jun 2010 19:48:10 +0000):	@TheRealLaine I am about to do that now!!! Hubby lost his meds this is nuts, how is your day
lele647 (Sat, 05 Jun 2010 19:48:27 +0000):	@WatkinsLadybeth nope his valium, he needs
lele647 (Sat, 05 Jun 2010 19:49:39 +0000):	@JulieAnneRhodes you can have as many HUGS as you need!
lele647 (Sat, 05 Jun 2010 19:50:24 +0000):	@katieschwartz Hey sweetheart!! Happy saturday
lele647 (Sat, 05 Jun 2010 19:50:52 +0000):	@WatkinsLadybeth He found them!!
lele647 (Sat, 05 Jun 2010 19:52:58 +0000):	@katieschwartz Not much just looking at an indoor day, all sticky, the only think I hate about summer, getting the stickies
lele647 (Sat, 05 Jun 2010 19:53:28 +0000):	@Battleborne LOL I have my FB for my friends from HS, they are not on my twitter! LOL
lele647 (Sat, 05 Jun 2010 19:54:10 +0000):	RT @EminemsRealWife: #ghettospellingbee Spell Husband stealer -L-I-Z-T-A-Y-L-O-R &gt; hey hunny!! I love that Lady!!
lele647 (Sat, 05 Jun 2010 19:56:50 +0000):	@EminemsRealWife I know!! But you have to love her!! How are ya hunny?
lele647 (Sat, 05 Jun 2010 20:09:43 +0000):	@EminemsRealWife are you on vacation hunnny
lele647 (Sat, 05 Jun 2010 20:10:56 +0000):	@Battleborne LOL I started on FB 2 1/2 years ago, then had a stalker and decided to check out twitter and it was ll over!! hubby widowed!
lele647 (Sat, 05 Jun 2010 20:11:33 +0000):	RT @ValG247LvsRF: Watchin loaded eminem on Fuse...love it @EminemsRealWife thought you might like this
lele647 (Sat, 05 Jun 2010 20:14:46 +0000):	@aurapolisher I am crying really I am. C just mess me and goats ate his entire garden
lele647 (Sat, 05 Jun 2010 20:18:40 +0000):	@aurapolisher He is with hubby tonight they spend the night, so I dont hear from him until bedtime. I am upset, he worked fo fucking hard
lele647 (Sat, 05 Jun 2010 20:19:10 +0000):	@aurapolisher what was it almost 200 plants? I am not sure but I know a lot
lele647 (Sat, 05 Jun 2010 20:21:27 +0000):	@aurapolisher donkeys all kinds of animals I asked him if they would eat them before but he said he never had any problems
lele647 (Sat, 05 Jun 2010 20:21:42 +0000):	@aurapolisher no they are packs of wild goats
lele647 (Sat, 05 Jun 2010 20:23:05 +0000):	@aurapolisher i couldnt figure out why no fence, I can guarantee he will put one up, fuck he worked sooo hard!! Just getting first pics
lele647 (Sat, 05 Jun 2010 20:23:39 +0000):	@katieschwartz LOL I take many quick showers during sticky days
lele647 (Sat, 05 Jun 2010 20:25:01 +0000):	@aurapolisher Think its time to smoke!
lele647 (Sat, 05 Jun 2010 20:26:28 +0000):	@TheRealLaine Hubby found his meds! Nice to catch up with an old friend
lele647 (Sat, 05 Jun 2010 20:27:57 +0000):	@aurapolisher LOL about to smoke!! where did hubby go, evrything better hunny dm if you want
lele647 (Sat, 05 Jun 2010 20:29:47 +0000):	@aurapolisher LOL I just put on my FB rip with a pic of a small part of the garden you have to comment!!
lele647 (Sat, 05 Jun 2010 20:30:24 +0000):	@katieschwartz LOL i put my hair up and do a few turns in the shower.
lele647 (Sat, 05 Jun 2010 23:23:45 +0000):	@aurapolisher my kids graduate on the 19th!!! Yes!!
lele647 (Sat, 05 Jun 2010 23:29:19 +0000):	@BP_America shut up
lele647 (Sat, 05 Jun 2010 23:31:49 +0000):	@cupcakes5 Hey beautiful!!!
lele647 (Sat, 05 Jun 2010 23:35:27 +0000):	watching Animal House &quot;Can we dance with your dates&quot; LMAO
lele647 (Sat, 05 Jun 2010 23:39:24 +0000):	@cupcakes5 How was your day hunny?
lele647 (Sat, 05 Jun 2010 23:53:29 +0000):	@hipcop was looking for you!! 4 damn days od home shopping club watches. I need your handcuffs!!!!
lele647 (Sat, 05 Jun 2010 23:54:17 +0000):	@ScottC10 are the storms gonn abe bad hunny?
lele647 (Sat, 05 Jun 2010 23:56:45 +0000):	@ScottC10 oh if it is good video it!! i loved the video you sent hunny.. How are you today?
lele647 (Sat, 05 Jun 2010 23:59:39 +0000):	@ScottC10 I am feeling much better thanks!!! Whats up for tonight?
lele647 (Sun, 06 Jun 2010 00:00:28 +0000):	@dawnlambros you never got on my FB. I dont have anything on my FB pit beautiful pics of figi compliments of @figicollin
lele647 (Sun, 06 Jun 2010 00:01:03 +0000):	@dawnlambros this disaster makes me cry! it does! How are you feeling?
lele647 (Sun, 06 Jun 2010 00:01:29 +0000):	@ldykj LOL you are that far behind!! enjoy hunny, HUGS
lele647 (Sun, 06 Jun 2010 00:02:54 +0000):	@dawnlambros I hate that!! I have so many emails and passwords, then i lost my twitter notebook with all of them!! AHH
lele647 (Sun, 06 Jun 2010 00:06:04 +0000):	@dawnlambros LOL i try and count on hubby to remember my pass words, most are saved like phone numbers, if comp crashes i am screwed
lele647 (Sun, 06 Jun 2010 00:07:01 +0000):	@dawnlambros I dont know how to download off my FB, and actually find the damn pic, then my comp wont let me email, need a kid
lele647 (Sun, 06 Jun 2010 00:07:33 +0000):	@ScottC10 I love to sleep during storms hunny
lele647 (Sun, 06 Jun 2010 00:09:02 +0000):	@dawnlambros LOL I have so many twitter notebooks, but lost the most important, i use it for websites, songs, ect
lele647 (Sun, 06 Jun 2010 00:09:35 +0000):	@dawnlambros oh screw them!!! really
lele647 (Sun, 06 Jun 2010 00:10:40 +0000):	@ScottC10 I cant sleep on airplanes, i snore, LMAO
lele647 (Sun, 06 Jun 2010 00:11:55 +0000):	@ScottC10 plus i am scared to fly, LOL
lele647 (Sun, 06 Jun 2010 00:13:01 +0000):	@ScottC10 hubby did not think he snored until I made a video!!!
lele647 (Sun, 06 Jun 2010 00:13:57 +0000):	@dawnlambros they are all good!! Have one kid sick the rest are out!!
lele647 (Sun, 06 Jun 2010 00:14:45 +0000):	@ScottC10 yes i hear y and I dont like taking off and landing esp in philly
lele647 (Sun, 06 Jun 2010 00:16:42 +0000):	@ScottC10 you you have to fly over the oil things!!
lele647 (Sun, 06 Jun 2010 00:55:45 +0000):	@hipcop are you serious, you never told me babe, for how long, and i DEMAND pics!! LMAO luv ya
lele647 (Sun, 06 Jun 2010 00:56:17 +0000):	@hipcop trying to decide if i should spank you? LMAO
lele647 (Sun, 06 Jun 2010 01:13:05 +0000):	@GumBootSally @LordKhem Hello my sweets!!! how are yall
lele647 (Sun, 06 Jun 2010 01:14:55 +0000):	@GumBootSally I am very good!! Missed ya! what are you up too?
lele647 (Sun, 06 Jun 2010 01:16:27 +0000):	@LordKhem Thats awesome hunny!! Did you have agood day?
lele647 (Sun, 06 Jun 2010 01:17:08 +0000):	@GumBootSally It was rather hot here, nothing like in a month, believe it or not it gets really hot here
lele647 (Sun, 06 Jun 2010 01:22:58 +0000):	@GumBootSally damn i did that i had to take 2 valiums when i got home, LMAO
lele647 (Sun, 06 Jun 2010 01:26:25 +0000):	@DocNasty Oh Doc I cant wait!!! #krp
lele647 (Sun, 06 Jun 2010 01:27:26 +0000):	@GumBootSally LOL I wont let them touch my car, i learned my lesson when i wrecked my moms car!!
lele647 (Sun, 06 Jun 2010 01:30:54 +0000):	@GumBootSally LOL I wrecked her car the first time i took it, LOL backing out of a driveway, hit another car and ran!!!
lele647 (Sun, 06 Jun 2010 01:34:00 +0000):	@GumBootSally oh and i told her someone backed into her car at the rest we went to she made me take her there no broken tail light BUSTED
lele647 (Sun, 06 Jun 2010 01:36:46 +0000):	@GumBootSally LOL I cant believe that happened!!!
lele647 (Sun, 06 Jun 2010 01:41:29 +0000):	@NickDevious Hey hunny 20 minutes until my #krp you ready for some new song? How are ya
lele647 (Sun, 06 Jun 2010 01:41:43 +0000):	@GumBootSally CYL hunny
lele647 (Sun, 06 Jun 2010 01:47:18 +0000):	@NickDevious I feel much better hunny!! getting my rap in now!! LMAO
lele647 (Sun, 06 Jun 2010 01:47:57 +0000):	@NickDevious I def need some new songs oh you should listen i know you would love it
lele647 (Sun, 06 Jun 2010 01:48:14 +0000):	RT @NickDevious: Elvis Presley – Such A Night @abinitioadinfin @LovLesmile @AliveinMe @GlyndiAvera @georgeginis... ♫ http://blip.fm/~rm9rh
lele647 (Sun, 06 Jun 2010 01:50:22 +0000):	@NickDevious LOl you wanna hear some rap hold on from you tube though babe
lele647 (Sun, 06 Jun 2010 01:50:49 +0000):	Check this video out -- Kanye West - Gold Digger ft. Jamie Foxx http://youtu.be/6vwNcNOTVzY @nickdevious
lele647 (Sun, 06 Jun 2010 01:54:06 +0000):	Jeff says talking to me is like talking to wall HELLO i have my headphones on!!!! #krp
lele647 (Sun, 06 Jun 2010 01:58:51 +0000):	@NickDevious babe you should really check this our but I will RT the best to you, how was you day?
lele647 (Sun, 06 Jun 2010 01:59:18 +0000):	@NickDevious I am missing the hangover for this!! LOL
lele647 (Sun, 06 Jun 2010 02:02:22 +0000):	@NickDevious cloudy here today too, said we were having 3 days of rain and i havent seen a drop, mike tyson just punched that dude out
lele647 (Sun, 06 Jun 2010 02:03:49 +0000):	@NickDevious LMAO this movie is great!!! @zoomarang
lele647 (Sun, 06 Jun 2010 02:07:09 +0000):	RT @DJROCKINRED: @nickdevious they sent me @lele647 s rain by mistrake*hands it back* sorry &gt; i could use some!!
lele647 (Sun, 06 Jun 2010 02:08:49 +0000):	@DJROCKINRED thta sucks!!
lele647 (Sun, 06 Jun 2010 02:09:37 +0000):	RT @DJROCKINRED: @lele647 now *humidity* &gt; here too!
lele647 (Sun, 06 Jun 2010 02:12:43 +0000):	@dacnasty the best hangover cure is a coke slurpee i swear by it
lele647 (Sun, 06 Jun 2010 02:12:54 +0000):	RT @lele647: @dacnasty the best hangover cure is a coke slurpee i swear by it #krp
lele647 (Sun, 06 Jun 2010 02:19:03 +0000):	@aurapolisher Hey that is a cheers card!! LOL
lele647 (Sun, 06 Jun 2010 02:19:20 +0000):	@aurapolisher I love you too, c is sleeping
lele647 (Sun, 06 Jun 2010 02:19:58 +0000):	RT @KrushRadio: #NowPlaying #KRP Halestorm - Familiar taste of poison http://krush.me @nickdevious I like this
lele647 (Sun, 06 Jun 2010 02:21:37 +0000):	@aurapolisher Cristian says hi and sends love!! and everything else!!
lele647 (Sun, 06 Jun 2010 02:22:16 +0000):	RT @KrushRadio: #NowPlaying #KRP Papa Roach - Forever http://krush.me &gt; @nichdevious
lele647 (Sun, 06 Jun 2010 02:22:45 +0000):	RT @KrushRadio: #NowPlaying #KRP Papa Roach - Forever http://krush.me &gt; @nickdevious
lele647 (Sun, 06 Jun 2010 02:23:54 +0000):	@aurapolisher you know how moody he is, I hope he is in a better mood tomorrow, he said he would try, DAMN i love that man!! LMAO
lele647 (Sun, 06 Jun 2010 02:24:42 +0000):	@aurapolisher last mess 5 minutes ago, tell him he will be on twitter tomorrow, he was in TJ for 12 hours today
lele647 (Sun, 06 Jun 2010 02:26:24 +0000):	RT @girlwithnoname: as usual @DocNasty is spinning my saturday night into a frenzy #krp &lt;- give 'r a listen. &gt; yes he is following now
lele647 (Sun, 06 Jun 2010 02:31:11 +0000):	@NickDevious I am sorry hunny
lele647 (Sun, 06 Jun 2010 02:32:06 +0000):	@NickDevious if you want to listen go to krushradio.com i would not steer you wrong
